species,run_name,state,ligand_code,ligand_display,is_apo,label,metric,value
HUMAN,HUMAN_APO,APO,,APO,True,HUMAN | APO,protein_rmsd_last_half_mean_A,3.332573594216232
HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,protein_rmsd_last_half_mean_A,3.223245296196152
HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,protein_rmsd_last_half_mean_A,3.8091066059237626
MOUSE,MOUSE_APO,APO,,APO,True,MOUSE | APO,protein_rmsd_last_half_mean_A,3.9182639694412225
MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,protein_rmsd_last_half_mean_A,2.8388192193512256
MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,protein_rmsd_last_half_mean_A,2.9946067336426543
RAT,RAT_APO,APO,,APO,True,RAT | APO,protein_rmsd_last_half_mean_A,3.915569739110436
RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,protein_rmsd_last_half_mean_A,3.4946192945922165
RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,protein_rmsd_last_half_mean_A,4.058137884264629
HUMAN,HUMAN_APO,APO,,APO,True,HUMAN | APO,protein_rmsf_mean_A,1.639486894037736
HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,protein_rmsf_mean_A,1.5417992323396223
HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,protein_rmsf_mean_A,1.238456188716981
MOUSE,MOUSE_APO,APO,,APO,True,MOUSE | APO,protein_rmsf_mean_A,1.3587842231636365
MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,protein_rmsf_mean_A,18.354529616
MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,protein_rmsf_mean_A,1.3780291991636366
RAT,RAT_APO,APO,,APO,True,RAT | APO,protein_rmsf_mean_A,1.5702126981454545
RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,protein_rmsf_mean_A,1.54874244
RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,protein_rmsf_mean_A,1.735317512690909
HUMAN,HUMAN_APO,APO,,APO,True,HUMAN | APO,rg_last_half_mean_A,19.586812925853277
HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,rg_last_half_mean_A,20.13561558749201
HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,rg_last_half_mean_A,20.101553768462892
MOUSE,MOUSE_APO,APO,,APO,True,MOUSE | APO,rg_last_half_mean_A,20.507412946321057
MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,rg_last_half_mean_A,20.319338783487463
MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,rg_last_half_mean_A,20.28437160547809
RAT,RAT_APO,APO,,APO,True,RAT | APO,rg_last_half_mean_A,20.674846526411446
RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,rg_last_half_mean_A,20.73123298725091
RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,rg_last_half_mean_A,20.604016356075274
HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,ligand_rmsd_last_half_mean_A,1.4450156053949843
HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,ligand_rmsd_last_half_mean_A,1.3838855175232991
MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,ligand_rmsd_last_half_mean_A,1.4932834260269587
MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,ligand_rmsd_last_half_mean_A,1.7261146905603775
RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,ligand_rmsd_last_half_mean_A,1.7419745643374267
RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,ligand_rmsd_last_half_mean_A,2.2521699392144314
HUMAN,HUMAN_APO,APO,,APO,True,HUMAN | APO,contact_residue_count,0.0
HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,contact_residue_count,38.0
HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,contact_residue_count,27.0
MOUSE,MOUSE_APO,APO,,APO,True,MOUSE | APO,contact_residue_count,0.0
MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,contact_residue_count,29.0
MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,contact_residue_count,29.0
RAT,RAT_APO,APO,,APO,True,RAT | APO,contact_residue_count,0.0
RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,contact_residue_count,34.0
RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,contact_residue_count,32.0
