species,family,run_name,state,ligand_code,ligand_display,is_apo,label,protein_rmsd_mean_A,protein_rmsd_last_A,protein_rmsd_last_half_mean_A,protein_rmsf_mean_A,rg_mean_A,rg_last_half_mean_A,ligand_rmsd_mean_A,ligand_rmsd_last_half_mean_A,ligand_rmsf_mean_A,contact_residue_count,dominant_interaction_type,available_protein_rmsd,available_protein_rmsf,available_rg,available_ligand_rmsd,available_ligand_rmsf,available_contacts,used_framewise,framewise_file_size_mb
HUMAN,HUMAN,HUMAN_APO,APO,,APO,True,HUMAN | APO,2.958852953698926,3.184834,3.332573594216232,1.639486894037736,19.69622210238027,19.586812925853277,,,,0,,True,True,True,False,False,False,False,
HUMAN,HUMAN,HUMAN_BALO,BALO,Balovaptan,Balovaptan,False,HUMAN | Balovaptan,2.6903191441935164,3.6051655,3.223245296196152,1.5417992323396223,20.152432421998626,20.13561558749201,1.4571393114815703,1.4450156053949843,,38,Hydrophobic,True,True,True,True,False,True,False,66.56241130828857
HUMAN,HUMAN,HUMAN_UMF,UMF,UMF-504,UMF-504,False,HUMAN | UMF-504,3.7118733886356274,3.716029,3.8091066059237626,1.238456188716981,20.103889211837497,20.101553768462892,1.3835569884520127,1.3838855175232991,,27,Hydrophobic,True,True,True,True,False,True,False,74.41121006011963
MOUSE,MOUSE,MOUSE_APO,APO,,APO,True,MOUSE | APO,3.7453565038351235,3.5791082,3.9182639694412225,1.3587842231636365,20.476214870219994,20.507412946321057,,,,0,,True,True,True,False,False,False,False,
MOUSE,MOUSE,MOUSE_BALO,BALO,Balovaptan,Balovaptan,False,MOUSE | Balovaptan,2.6260421939741208,2.9260232,2.8388192193512256,18.354529616,20.331132064005498,20.319338783487463,1.4673164026249474,1.4932834260269587,,29,Hydrophobic,True,True,True,True,False,True,False,67.35069847106934
MOUSE,MOUSE,MOUSE_UMF,UMF,UMF-504,UMF-504,False,MOUSE | UMF-504,2.838825716756465,3.2097318,2.9946067336426543,1.3780291991636366,20.327872933874293,20.28437160547809,1.710755519888802,1.7261146905603775,,29,Hydrophobic,True,True,True,True,False,True,False,71.001708984375
RAT,RAT,RAT_APO,APO,,APO,True,RAT | APO,3.493391409099818,3.6535172,3.915569739110436,1.5702126981454545,20.6734816207224,20.674846526411446,,,,0,,True,True,True,False,False,False,False,
RAT,RAT,RAT_BALO,BALO,Balovaptan,Balovaptan,False,RAT | Balovaptan,3.0977106962500747,3.7526622,3.4946192945922165,1.54874244,20.690317704953564,20.73123298725091,1.664347768748335,1.7419745643374267,,34,Hydrophobic,True,True,True,True,False,True,False,73.59519100189209
RAT,RAT,RAT_UMF,UMF,UMF-504,UMF-504,False,RAT | UMF-504,3.778886769260615,3.9296234,4.058137884264629,1.735317512690909,20.66767383262027,20.604016356075274,2.0947124998298032,2.2521699392144314,,32,Hydrophobic,True,True,True,True,False,True,False,65.04816055297852
